"ID";"Tagnr";"Dato";"Klokke";"Status";"Plottsikkerhet";"Årstall";"Lokalitet";"Art";"Kjønn";"Alder";"Vekt";"Bryst";"Ving 1";"Ving 2";"Dødsårsak";"X-koordinat";"Y-koordinat";"Kondisjon";"Høyde_stripe_kam";"Lengde_stripe_kam";"Frekvens";"organismID";"occurrenceID"
3483;"4271281";29.1.2013 00.00.00;30.12.1899 15.00.00;1;3;2012,00;44,00;"F";2,00;2,00;490,00;71,00;196,00;200,00;3,00;453380,00;7142911,00;24,74;;;152879;"c41a00f4-2421-11e7-a02d-c1c81e3148db";"c4da4755-2421-11e7-a02d-c1c81e3148db"
3484;"4272251";5.2.2013 00.00.00;30.12.1899 03.30.00;2;1;2013,00;44,00;"F";2,00;2,00;470,00;70,30;189,00;189,00;;452366,00;7144113,00;24,86;;;152370;"c41b3a44-2421-11e7-a02d-c1c81e3148db";"c4da4756-2421-11e7-a02d-c1c81e3148db"
3485;"4272252";5.2.2013 00.00.00;30.12.1899 02.55.00;2;1;2013,00;44,00;"F";2,00;1,00;500,00;69,90;199,00;201,00;3,00;451781,00;7143211,00;25,00;;;152540;"c41b3a45-2421-11e7-a02d-c1c81e3148db";"c4da6fb8-2421-11e7-a02d-c1c81e3148db"
3486;"4272252";13.2.2013 00.00.00;30.12.1899 16.00.00;1;2;2013,00;44,00;"F";2,00;1,00;500,00;69,90;199,00;201,00;3,00;451452,00;7141109,00;25,00;;;152540;"c41b3a45-2421-11e7-a02d-c1c81e3148db";"c4da6fb9-2421-11e7-a02d-c1c81e3148db"
3487;"4272253";5.2.2013 00.00.00;30.12.1899 03.30.00;2;1;2013,00;44,00;"F";1,00;1,00;595,00;73,40;211,00;210,00;2,00;452312,00;7144385,00;28,26;10,00;34,60;152741;"c41b3a46-2421-11e7-a02d-c1c81e3148db";"c4da96f0-2421-11e7-a02d-c1c81e3148db"
3488;"4272253";13.2.2013 00.00.00;30.12.1899 16.00.00;1;2;2013,00;44,00;"F";1,00;1,00;595,00;73,40;211,00;210,00;2,00;451328,00;7141264,00;28,26;10,00;34,60;152741;"c41b3a46-2421-11e7-a02d-c1c81e3148db";"c4da96f1-2421-11e7-a02d-c1c81e3148db"
3489;"4272254";6.2.2013 00.00.00;30.12.1899 01.40.00;2;1;2013,00;44,00;"F";2,00;1,00;505,00;69,70;193,00;192,00;3,00;452366,00;7143882,00;26,23;;;152016;"c41b6168-2421-11e7-a02d-c1c81e3148db";"c4da96f2-2421-11e7-a02d-c1c81e3148db"
3490;"4272255";8.2.2013 00.00.00;30.12.1899 02.30.00;2;1;2013,00;44,00;"F";1,00;1,00;515,00;70,90;201,00;201,00;;453078,00;7142507,00;25,62;6,60;30,20;152838;"c41b6169-2421-11e7-a02d-c1c81e3148db";"c4dabe0a-2421-11e7-a02d-c1c81e3148db"
3491;"4272255";11.2.2013 00.00.00;30.12.1899 03.15.00;1;1;2013,00;44,00;"F";1,00;1,00;515,00;70,90;201,00;201,00;;452219,00;7142800,00;25,62;6,60;30,20;152838;"c41b6169-2421-11e7-a02d-c1c81e3148db";"c4dabe0b-2421-11e7-a02d-c1c81e3148db"
3493;"4272257";9.2.2013 00.00.00;30.12.1899 02.45.00;2;1;2013,00;44,00;"F";2,00;1,00;495,00;67,70;193,00;193,00;;451083,00;7145056,00;25,64;;;152448;"c41b888d-2421-11e7-a02d-c1c81e3148db";"c4dae542-2421-11e7-a02d-c1c81e3148db"
3496;"4272259";9.2.2013 00.00.00;30.12.1899 23.30.00;2;1;2013,00;44,00;"F";1,00;1,00;525,00;76,40;210,00;210,00;2,00;453301,00;7143180,00;25,00;7,30;29,00;152903;"c41bafba-2421-11e7-a02d-c1c81e3148db";"c4db0c52-2421-11e7-a02d-c1c81e3148db"
3497;"4272259";13.2.2013 00.00.00;30.12.1899 16.00.00;1;2;2013,00;44,00;"F";1,00;1,00;525,00;76,40;210,00;210,00;2,00;452141,00;7142007,00;25,00;7,30;29,00;152903;"c41bafba-2421-11e7-a02d-c1c81e3148db";"c4db0c53-2421-11e7-a02d-c1c81e3148db"
3498;"4272260";10.2.2013 00.00.00;30.12.1899 00.10.00;2;1;2013,00;44,00;"F";1,00;1,00;605,00;76,90;206,00;208,00;;452978,00;7142055,00;29,22;7,60;34,20;152268;"c41bafbb-2421-11e7-a02d-c1c81e3148db";"c4db0c54-2421-11e7-a02d-c1c81e3148db"
3499;"4272260";13.2.2013 00.00.00;30.12.1899 16.00.00;1;2;2013,00;44,00;"F";1,00;1,00;605,00;76,90;206,00;208,00;;454190,00;7142750,00;29,22;7,60;34,20;152268;"c41bafbb-2421-11e7-a02d-c1c81e3148db";"c4db325e-2421-11e7-a02d-c1c81e3148db"
3501;"4272262";10.2.2013 00.00.00;30.12.1899 02.30.00;2;1;2013,00;44,00;"F";2,00;2,00;460,00;71,50;197,00;197,00;2,00;452565,00;7142994,00;23,35;;;152479;"c41bd6de-2421-11e7-a02d-c1c81e3148db";"c4db3260-2421-11e7-a02d-c1c81e3148db"
3502;"4272262";13.2.2013 00.00.00;30.12.1899 16.00.00;1;2;2013,00;44,00;"F";2,00;2,00;460,00;71,50;197,00;197,00;2,00;452222,00;7141503,00;23,35;;;152479;"c41bd6de-2421-11e7-a02d-c1c81e3148db";"c4db5ab8-2421-11e7-a02d-c1c81e3148db"
3503;"4272263";10.2.2013 00.00.00;30.12.1899 03.40.00;2;1;2013,00;44,00;"F";2,00;1,00;515,00;71,10;195,00;196,00;2,00;451321,00;7143322,00;26,34;;;152520;"c41bd6df-2421-11e7-a02d-c1c81e3148db";"c4db5ab9-2421-11e7-a02d-c1c81e3148db"
3504;"4272264";10.2.2013 00.00.00;30.12.1899 23.50.00;2;1;2013,00;44,00;"F";2,00;1,00;490,00;67,00;194,00;195,00;;453404,00;7142556,00;25,19;;;152178;"c41bd6e0-2421-11e7-a02d-c1c81e3148db";"c4db80a6-2421-11e7-a02d-c1c81e3148db"
