"ID";"Tagnr";"Dato";"Klokke";"Status";"Plottsikkerhet";"Årstall";"Lokalitet";"Art";"Kjønn";"Alder";"Vekt";"Bryst";"Ving 1";"Ving 2";"Dødsårsak";"X-koordinat";"Y-koordinat";"Kondisjon";"Høyde_stripe_kam";"Lengde_stripe_kam";"Frekvens";"organismID";"occurrenceID"
3557;"4272279";9.3.2013 00.00.00;30.12.1899 11.40.00;1;2;2013,00;44,00;"F";1,00;1,00;550,00;76,00;208,00;209,00;;448190,00;7143314,00;26,37;4,40;29,90;152772;"c41c9abc-2421-11e7-a02d-c1c81e3148db";"c4de6a02-2421-11e7-a02d-c1c81e3148db"
3558;"4272283";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";1,00;2,00;585,00;73,20;207,00;207,00;;453515,00;7142940,00;28,26;8,50;33,50;152736;"c41ce90c-2421-11e7-a02d-c1c81e3148db";"c4de9142-2421-11e7-a02d-c1c81e3148db"
3559;"4272285";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";1,00;1,00;565,00;76,00;212,00;212,00;;451418,00;7143658,00;26,65;8,40;31,40;152979;"c41ce90e-2421-11e7-a02d-c1c81e3148db";"c4de9143-2421-11e7-a02d-c1c81e3148db"
3560;"4272286";7.3.2013 00.00.00;30.12.1899 17.00.00;1;2;2013,00;44,00;"F";1,00;1,00;485,00;72,40;;200,00;;453515,00;7142940,00;24,25;5,00;30,30;152844;"c41d103a-2421-11e7-a02d-c1c81e3148db";"c4de9144-2421-11e7-a02d-c1c81e3148db"
3561;"4272254";21.3.2013 00.00.00;30.12.1899 15.30.01;1;3;2013,00;44,00;"F";2,00;1,00;505,00;69,70;193,00;192,00;3,00;460318,00;7140306,00;26,23;;;152016;"c41b6168-2421-11e7-a02d-c1c81e3148db";"c4deb73a-2421-11e7-a02d-c1c81e3148db"
3562;"4272271";21.3.2013 00.00.00;30.12.1899 14.25.12;1;3;2013,00;44,00;"F";1,00;1,00;570,00;75,10;210,00;210,00;;449839,00;7146725,00;27,14;8,10;29,00;152044;"c41c4c68-2421-11e7-a02d-c1c81e3148db";"c4deb73b-2421-11e7-a02d-c1c81e3148db"
3563;"4272266";21.3.2013 00.00.00;30.12.1899 14.40.47;1;3;2013,00;44,00;"F";1,00;1,00;605,00;73,90;203,00;203,00;;448024,00;7143162,00;29,80;5,90;27,80;152051;"c41bfe0d-2421-11e7-a02d-c1c81e3148db";"c4deb73c-2421-11e7-a02d-c1c81e3148db"
3564;"4272273";21.3.2013 00.00.00;30.12.1899 14.28.50;1;3;2013,00;44,00;"F";1,00;2,00;470,00;71,70;196,00;195,00;;449382,00;7143845,00;24,04;4,00;26,80;152079;"c41c4c6a-2421-11e7-a02d-c1c81e3148db";"c4dedf9e-2421-11e7-a02d-c1c81e3148db"
3565;"4272277";21.3.2013 00.00.00;30.12.1899 14.56.34;1;3;2013,00;44,00;"F";2,00;2,00;475,00;67,80;190,00;190,00;3,00;451863,00;7143516,00;25,00;;;152088;"c41c9aba-2421-11e7-a02d-c1c81e3148db";"c4dedf9f-2421-11e7-a02d-c1c81e3148db"
3566;"4272272";21.3.2013 00.00.00;30.12.1899 15.26.18;1;3;2013,00;44,00;"F";1,00;2,00;525,00;75,60;200,00;200,00;;459498,00;7137953,00;26,25;6,50;27,30;152151;"c41c4c69-2421-11e7-a02d-c1c81e3148db";"c4dedfa0-2421-11e7-a02d-c1c81e3148db"
3567;"4272264";21.3.2013 00.00.00;30.12.1899 14.55.24;1;3;2013,00;44,00;"F";2,00;1,00;490,00;67,00;194,00;195,00;;454260,00;7141278,00;25,19;;;152178;"c41bd6e0-2421-11e7-a02d-c1c81e3148db";"c4df06ae-2421-11e7-a02d-c1c81e3148db"
3568;"4271271";21.3.2013 00.00.00;30.12.1899 13.39.06;1;3;2012,00;44,00;"F";1,00;2,00;570,00;76,00;205,00;204,00;1,00;390381,00;7102716,00;27,87;7,20;31,10;152238;"c418c7a0-2421-11e7-a02d-c1c81e3148db";"c4df06af-2421-11e7-a02d-c1c81e3148db"
3569;"4272260";21.3.2013 00.00.00;30.12.1899 14.16.55;1;3;2013,00;44,00;"F";1,00;1,00;605,00;76,90;206,00;208,00;;447720,00;7141256,00;29,22;7,60;34,20;152268;"c41bafbb-2421-11e7-a02d-c1c81e3148db";"c4df2cba-2421-11e7-a02d-c1c81e3148db"
3570;"4272269";21.3.2013 00.00.00;30.12.1899 14.50.15;1;3;2013,00;44,00;"F";1,00;1,00;545,00;74,60;208,00;210,00;;452310,00;7141463,00;26,07;8,40;31,00;152277;"c41c253b-2421-11e7-a02d-c1c81e3148db";"c4df2cbb-2421-11e7-a02d-c1c81e3148db"
3571;"4271255";21.3.2013 00.00.00;30.12.1899 14.25.57;1;3;2012,00;44,00;"F";1,00;2,00;425,00;66,00;190,00;189,00;;449185,00;7144972,00;22,42;6,40;23,10;152311;"c41a9da1-2421-11e7-a02d-c1c81e3148db";"c4df53f2-2421-11e7-a02d-c1c81e3148db"
3572;"4272270";21.3.2013 00.00.00;30.12.1899 14.19.06;1;3;2013,00;44,00;"F";1,00;1,00;530,00;72,10;207,00;207,00;;447365,00;7142777,00;25,60;7,90;31,30;152329;"c41c253c-2421-11e7-a02d-c1c81e3148db";"c4df53f3-2421-11e7-a02d-c1c81e3148db"
3573;"4272251";21.3.2013 00.00.00;30.12.1899 14.21.01;1;3;2013,00;44,00;"F";2,00;2,00;470,00;70,30;189,00;189,00;;447565,00;7142973,00;24,86;;;152370;"c41b3a44-2421-11e7-a02d-c1c81e3148db";"c4df53f4-2421-11e7-a02d-c1c81e3148db"
3574;"4272275";21.3.2013 00.00.00;30.12.1899 14.41.58;1;3;2013,00;44,00;"F";2,00;1,00;485,00;69,40;193,00;192,00;;450042,00;7144621,00;25,19;;;152440;"c41c738d-2421-11e7-a02d-c1c81e3148db";"c4df7c4c-2421-11e7-a02d-c1c81e3148db"
3575;"4272257";21.3.2013 00.00.00;30.12.1899 14.52.55;1;3;2013,00;44,00;"F";2,00;1,00;495,00;67,70;193,00;193,00;;451967,00;7143402,00;25,64;;;152448;"c41b888d-2421-11e7-a02d-c1c81e3148db";"c4df7c4d-2421-11e7-a02d-c1c81e3148db"
3576;"4272263";21.3.2013 00.00.00;30.12.1899 14.28.11;1;3;2013,00;44,00;"F";2,00;1,00;515,00;71,10;195,00;196,00;2,00;461161,00;7140632,00;26,34;;;152520;"c41bd6df-2421-11e7-a02d-c1c81e3148db";"c4df7c4e-2421-11e7-a02d-c1c81e3148db"
3577;"4272252";21.3.2013 00.00.00;30.12.1899 14.23.17;1;3;2013,00;44,00;"F";2,00;1,00;500,00;69,90;199,00;201,00;3,00;447999,00;7142863,00;25,00;;;152540;"c41b3a45-2421-11e7-a02d-c1c81e3148db";"c4dfa366-2421-11e7-a02d-c1c81e3148db"
3578;"4272283";21.3.2013 00.00.00;30.12.1899 14.30.22;1;3;2013,00;44,00;"F";1,00;2,00;585,00;73,20;207,00;207,00;;446763,00;7142097,00;28,26;8,50;33,50;152736;"c41ce90c-2421-11e7-a02d-c1c81e3148db";"c4dfa367-2421-11e7-a02d-c1c81e3148db"
3579;"4272253";21.3.2013 00.00.00;30.12.1899 14.48.16;5;3;2013,00;44,00;"F";1,00;1,00;595,00;73,40;211,00;210,00;2,00;450237,00;7141251,00;28,26;10,00;34,60;152741;"c41b3a46-2421-11e7-a02d-c1c81e3148db";"c4dfa368-2421-11e7-a02d-c1c81e3148db"
3580;"4272278";21.3.2013 00.00.00;30.12.1899 14.27.26;1;3;2013,00;44,00;"F";2,00;1,00;500,00;67,30;190,00;190,00;1,00;446781,00;7141933,00;26,31;;;152746;"c41c9abb-2421-11e7-a02d-c1c81e3148db";"c4dfca94-2421-11e7-a02d-c1c81e3148db"
3581;"4272279";21.3.2013 00.00.00;30.12.1899 14.23.54;1;3;2013,00;44,00;"F";1,00;1,00;550,00;76,00;208,00;209,00;;447867,00;7144498,00;26,37;4,40;29,90;152772;"c41c9abc-2421-11e7-a02d-c1c81e3148db";"c4dfca95-2421-11e7-a02d-c1c81e3148db"
3582;"4272282";21.3.2013 00.00.00;30.12.1899 15.17.59;1;3;2013,00;44,00;"F";2,00;1,00;520,00;70,20;197,00;198,00;;455690,00;7142094,00;26,32;;;152791;"c41cc1e0-2421-11e7-a02d-c1c81e3148db";"c4dfca96-2421-11e7-a02d-c1c81e3148db"
3583;"4272286";21.3.2013 00.00.00;30.12.1899 14.33.25;1;3;2013,00;44,00;"F";1,00;1,00;485,00;72,40;;200,00;;448690,00;7143618,00;24,25;5,00;30,30;152844;"c41d103a-2421-11e7-a02d-c1c81e3148db";"c4dff1b8-2421-11e7-a02d-c1c81e3148db"
3584;"4271281";21.3.2013 00.00.00;30.12.1899 14.45.04;1;3;2012,00;44,00;"F";2,00;2,00;490,00;71,00;196,00;200,00;3,00;449617,00;7140180,00;24,74;;;152879;"c41a00f4-2421-11e7-a02d-c1c81e3148db";"c4dff1b9-2421-11e7-a02d-c1c81e3148db"
3585;"4272285";21.3.2013 00.00.00;30.12.1899 14.59.21;1;3;2013,00;44,00;"F";1,00;1,00;565,00;76,00;212,00;212,00;;452645,00;7141126,00;26,65;8,40;31,40;152979;"c41ce90e-2421-11e7-a02d-c1c81e3148db";"c4dff1ba-2421-11e7-a02d-c1c81e3148db"
3586;"4272271";11.4.2013 00.00.00;30.12.1899 12.45.52;1;3;2013,00;44,00;"F";1,00;1,00;570,00;75,10;210,00;210,00;;457164,00;7145852,00;27,14;8,10;29,00;152044;"c41c4c68-2421-11e7-a02d-c1c81e3148db";"c4e018f0-2421-11e7-a02d-c1c81e3148db"
3587;"4272266";11.4.2013 00.00.00;30.12.1899 12.22.35;1;3;2013,00;44,00;"F";1,00;1,00;605,00;73,90;203,00;203,00;;450976,00;7144874,00;29,80;5,90;27,80;152051;"c41bfe0d-2421-11e7-a02d-c1c81e3148db";"c4e018f1-2421-11e7-a02d-c1c81e3148db"
3588;"4272273";11.4.2013 00.00.00;30.12.1899 12.09.03;1;3;2013,00;44,00;"F";1,00;2,00;470,00;71,70;196,00;195,00;;449575,00;7144855,00;24,04;4,00;26,80;152079;"c41c4c6a-2421-11e7-a02d-c1c81e3148db";"c4e018f2-2421-11e7-a02d-c1c81e3148db"
3589;"4272277";11.4.2013 00.00.00;30.12.1899 12.12.35;1;3;2013,00;44,00;"F";2,00;2,00;475,00;67,80;190,00;190,00;3,00;450047,00;7144344,00;25,00;;;152088;"c41c9aba-2421-11e7-a02d-c1c81e3148db";"c4e0400a-2421-11e7-a02d-c1c81e3148db"
3590;"4272272";11.4.2013 00.00.00;30.12.1899 12.32.17;1;3;2013,00;44,00;"F";1,00;2,00;525,00;75,60;200,00;200,00;;455212,00;7137388,00;26,25;6,50;27,30;152151;"c41c4c69-2421-11e7-a02d-c1c81e3148db";"c4e0400b-2421-11e7-a02d-c1c81e3148db"
3591;"4272264";11.4.2013 00.00.00;30.12.1899 12.58.02;1;3;2013,00;44,00;"F";2,00;1,00;490,00;67,00;194,00;195,00;;459875,00;7139519,00;25,19;;;152178;"c41bd6e0-2421-11e7-a02d-c1c81e3148db";"c4e06616-2421-11e7-a02d-c1c81e3148db"
3592;"4271284";11.4.2013 00.00.00;30.12.1899 11.49.18;1;3;2012,00;44,00;"F";1,00;2,00;615,00;79,00;;;1,00;429169,00;7130613,00;;7,80;32,20;152229;"c418a060-2421-11e7-a02d-c1c81e3148db";"c4e06617-2421-11e7-a02d-c1c81e3148db"
3593;"4271271";11.4.2013 00.00.00;30.12.1899 11.08.51;1;3;2012,00;44,00;"F";1,00;2,00;570,00;76,00;205,00;204,00;1,00;390716,00;7102619,00;27,87;7,20;31,10;152238;"c418c7a0-2421-11e7-a02d-c1c81e3148db";"c4e06618-2421-11e7-a02d-c1c81e3148db"
3594;"4272269";11.4.2013 00.00.00;30.12.1899 13.38.41;1;3;2013,00;44,00;"F";1,00;1,00;545,00;74,60;208,00;210,00;;457629,00;7133980,00;26,07;8,40;31,00;152277;"c41c253b-2421-11e7-a02d-c1c81e3148db";"c4e08d3a-2421-11e7-a02d-c1c81e3148db"
3595;"4271255";11.4.2013 00.00.00;30.12.1899 12.30.56;1;3;2012,00;44,00;"F";1,00;2,00;425,00;66,00;190,00;189,00;;453137,00;7139822,00;22,42;6,40;23,10;152311;"c41a9da1-2421-11e7-a02d-c1c81e3148db";"c4e08d3b-2421-11e7-a02d-c1c81e3148db"
3596;"4272270";11.4.2013 00.00.00;30.12.1899 12.01.57;1;3;2013,00;44,00;"F";1,00;1,00;530,00;72,10;207,00;207,00;;445561,00;7138040,00;25,60;7,90;31,30;152329;"c41c253c-2421-11e7-a02d-c1c81e3148db";"c4e08d3c-2421-11e7-a02d-c1c81e3148db"
3597;"4272251";11.4.2013 00.00.00;30.12.1899 12.13.13;1;3;2013,00;44,00;"F";2,00;2,00;470,00;70,30;189,00;189,00;;450740,00;7146015,00;24,86;;;152370;"c41b3a44-2421-11e7-a02d-c1c81e3148db";"c4e0b5a8-2421-11e7-a02d-c1c81e3148db"
3598;"4272275";11.4.2013 00.00.00;30.12.1899 12.25.53;1;3;2013,00;44,00;"F";2,00;1,00;485,00;69,40;193,00;192,00;;451013,00;7143619,00;25,19;;;152440;"c41c738d-2421-11e7-a02d-c1c81e3148db";"c4e0b5a9-2421-11e7-a02d-c1c81e3148db"
3599;"4272257";11.4.2013 00.00.00;30.12.1899 12.13.54;1;3;2013,00;44,00;"F";2,00;1,00;495,00;67,70;193,00;193,00;;449409,00;7146037,00;25,64;;;152448;"c41b888d-2421-11e7-a02d-c1c81e3148db";"c4e0b5aa-2421-11e7-a02d-c1c81e3148db"
3600;"4272263";11.4.2013 00.00.00;30.12.1899 12.37.26;1;3;2013,00;44,00;"F";2,00;1,00;515,00;71,10;195,00;196,00;2,00;459157,00;7139498,00;26,34;;;152520;"c41bd6df-2421-11e7-a02d-c1c81e3148db";"c4e0dcb8-2421-11e7-a02d-c1c81e3148db"
3601;"4272252";11.4.2013 00.00.00;30.12.1899 12.04.41;1;3;2013,00;44,00;"F";2,00;1,00;500,00;69,90;199,00;201,00;3,00;445307,00;7142285,00;25,00;;;152540;"c41b3a45-2421-11e7-a02d-c1c81e3148db";"c4e0dcb9-2421-11e7-a02d-c1c81e3148db"
3602;"4272283";11.4.2013 00.00.00;30.12.1899 12.06.14;1;3;2013,00;44,00;"F";1,00;2,00;585,00;73,20;207,00;207,00;;447679,00;7145098,00;28,26;8,50;33,50;152736;"c41ce90c-2421-11e7-a02d-c1c81e3148db";"c4e0dcba-2421-11e7-a02d-c1c81e3148db"
3603;"4272278";11.4.2013 00.00.00;30.12.1899 12.14.34;1;3;2013,00;44,00;"F";2,00;1,00;500,00;67,30;190,00;190,00;1,00;450856,00;7146523,00;26,31;;;152746;"c41c9abb-2421-11e7-a02d-c1c81e3148db";"c4e103fa-2421-11e7-a02d-c1c81e3148db"
3604;"4272282";11.4.2013 00.00.00;30.12.1899 12.36.29;1;3;2013,00;44,00;"F";2,00;1,00;520,00;70,20;197,00;198,00;;458684,00;7137316,00;26,32;;;152791;"c41cc1e0-2421-11e7-a02d-c1c81e3148db";"c4e103fb-2421-11e7-a02d-c1c81e3148db"
3605;"4272286";11.4.2013 00.00.00;30.12.1899 12.31.41;1;3;2013,00;44,00;"F";1,00;1,00;485,00;72,40;;200,00;;454032,00;7138355,00;24,25;5,00;30,30;152844;"c41d103a-2421-11e7-a02d-c1c81e3148db";"c4e129e8-2421-11e7-a02d-c1c81e3148db"
3606;"4271281";11.4.2013 00.00.00;30.12.1899 13.30.23;5;3;2012,00;44,00;"F";2,00;2,00;490,00;71,00;196,00;200,00;3,00;460433,00;7134432,00;24,74;;;152879;"c41a00f4-2421-11e7-a02d-c1c81e3148db";"c4e129e9-2421-11e7-a02d-c1c81e3148db"
3607;"4272259";18.4.2013 00.00.00;;3;1;2013,00;44,00;"F";1,00;1,00;525,00;76,40;210,00;210,00;2,00;458210,00;7138992,00;25,00;7,30;29,00;152903;"c41bafba-2421-11e7-a02d-c1c81e3148db";"c4e129ea-2421-11e7-a02d-c1c81e3148db"
3608;"4272253";18.4.2013 00.00.00;;3;1;2013,00;44,00;"F";1,00;1,00;595,00;73,40;211,00;210,00;2,00;452956,00;7141052,00;28,26;10,00;34,60;152741;"c41b3a46-2421-11e7-a02d-c1c81e3148db";"c4e1524c-2421-11e7-a02d-c1c81e3148db"
3610;"4271255";23.7.2013 00.00.00;30.12.1899 16.31.00;1;1;2012,00;44,00;"F";1,00;2,00;425,00;66,00;190,00;189,00;;449144,00;7137058,00;22,42;6,40;23,10;152311;"c41a9da1-2421-11e7-a02d-c1c81e3148db";"c4e1524d-2421-11e7-a02d-c1c81e3148db"
3611;"4271271";28.5.2013 00.00.00;30.12.1899 13.54.00;1;3;2012,00;44,00;"F";1,00;2,00;570,00;76,00;205,00;204,00;1,00;390783,00;7102823,00;27,87;7,20;31,10;152238;"c418c7a0-2421-11e7-a02d-c1c81e3148db";"c4e1524e-2421-11e7-a02d-c1c81e3148db"
3612;"4271271";23.7.2013 00.00.00;30.12.1899 12.03.00;1;1;2012,00;44,00;"F";1,00;2,00;570,00;76,00;205,00;204,00;1,00;389794,00;7103814,00;27,87;7,20;31,10;152238;"c418c7a0-2421-11e7-a02d-c1c81e3148db";"c4e1795c-2421-11e7-a02d-c1c81e3148db"
3613;"4271281";28.5.2013 00.00.00;30.12.1899 15.42.00;5;3;2012,00;44,00;"F";2,00;2,00;490,00;71,00;196,00;200,00;3,00;458476,00;7131312,00;24,74;;;152879;"c41a00f4-2421-11e7-a02d-c1c81e3148db";"c4e1795d-2421-11e7-a02d-c1c81e3148db"
3614;"4271284";23.7.2013 00.00.00;30.12.1899 13.03.00;1;1;2012,00;44,00;"F";1,00;2,00;615,00;79,00;;;1,00;428218,00;7131105,00;;7,80;32,20;152229;"c418a060-2421-11e7-a02d-c1c81e3148db";"c4e1795e-2421-11e7-a02d-c1c81e3148db"
3615;"4272251";23.7.2013 00.00.00;30.12.1899 13.13.00;1;1;2013,00;44,00;"F";2,00;2,00;470,00;70,30;189,00;189,00;;431494,00;7129867,00;24,86;;;152370;"c41b3a44-2421-11e7-a02d-c1c81e3148db";"c4e19f54-2421-11e7-a02d-c1c81e3148db"
3616;"4272252";28.5.2013 00.00.00;30.12.1899 14.55.00;1;3;2013,00;44,00;"F";2,00;1,00;500,00;69,90;199,00;201,00;3,00;457611,00;7137040,00;25,00;;;152541;"c41b3a45-2421-11e7-a02d-c1c81e3148db";"c4e19f55-2421-11e7-a02d-c1c81e3148db"
3617;"4272252";20.6.2013 00.00.00;30.12.1899 10.05.00;5;2;2013,00;44,00;"F";2,00;1,00;500,00;69,90;199,00;201,00;3,00;453639,00;7145005,00;25,00;;;152541;"c41b3a45-2421-11e7-a02d-c1c81e3148db";"c4e19f56-2421-11e7-a02d-c1c81e3148db"
3618;"4272254";23.7.2013 00.00.00;30.12.1899 15.38.00;5;3;2013,00;44,00;"F";2,00;1,00;505,00;69,70;193,00;192,00;3,00;475022,00;7109880,00;26,23;;;152016;"c41b6168-2421-11e7-a02d-c1c81e3148db";"c4e1c68c-2421-11e7-a02d-c1c81e3148db"
3619;"4272263";28.5.2013 00.00.00;30.12.1899 15.28.00;5;3;2013,00;44,00;"F";2,00;1,00;515,00;71,10;195,00;196,00;2,00;457436,00;7142335,00;26,34;;;152520;"c41bd6df-2421-11e7-a02d-c1c81e3148db";"c4e1c68d-2421-11e7-a02d-c1c81e3148db"
3620;"4272263";2.7.2013 00.00.00;30.12.1899 12.00.00;4;1;2013,00;44,00;"F";2,00;1,00;515,00;71,10;195,00;196,00;2,00;457312,00;7142192,00;26,34;;;152520;"c41bd6df-2421-11e7-a02d-c1c81e3148db";"c4e1eefa-2421-11e7-a02d-c1c81e3148db"
3621;"4272264";23.7.2013 00.00.00;30.12.1899 15.47.00;1;3;2013,00;44,00;"F";2,00;1,00;490,00;67,00;194,00;195,00;;457637,00;7122674,00;25,19;;;152178;"c41bd6e0-2421-11e7-a02d-c1c81e3148db";"c4e1eefb-2421-11e7-a02d-c1c81e3148db"
3622;"4272264";29.7.2013 00.00.00;30.12.1899 12.00.00;1;1;2013,00;44,00;"F";2,00;1,00;490,00;67,00;194,00;195,00;;456596,00;7122630,00;25,19;;;152178;"c41bd6e0-2421-11e7-a02d-c1c81e3148db";"c4e1eefc-2421-11e7-a02d-c1c81e3148db"
3623;"4272264";30.7.2013 00.00.00;30.12.1899 12.00.00;1;1;2013,00;44,00;"F";2,00;1,00;490,00;67,00;194,00;195,00;;457656,00;7123140,00;25,19;;;152178;"c41bd6e0-2421-11e7-a02d-c1c81e3148db";"c4e21600-2421-11e7-a02d-c1c81e3148db"
3624;"4272264";31.7.2013 00.00.00;30.12.1899 12.00.00;1;1;2013,00;44,00;"F";2,00;1,00;490,00;67,00;194,00;195,00;;456834,00;7123447,00;25,19;;;152178;"c41bd6e0-2421-11e7-a02d-c1c81e3148db";"c4e21601-2421-11e7-a02d-c1c81e3148db"
3625;"4272266";28.5.2013 00.00.00;30.12.1899 14.42.00;1;3;2013,00;44,00;"F";1,00;1,00;605,00;73,90;203,00;203,00;;450023,00;7141711,00;29,80;5,90;27,80;152051;"c41bfe0d-2421-11e7-a02d-c1c81e3148db";"c4e21602-2421-11e7-a02d-c1c81e3148db"
3626;"4272266";23.7.2013 00.00.00;30.12.1899 16.10.00;1;3;2013,00;44,00;"F";1,00;1,00;605,00;73,90;203,00;203,00;;445019,00;7136234,00;29,80;5,90;27,80;152051;"c41bfe0d-2421-11e7-a02d-c1c81e3148db";"c4e23d42-2421-11e7-a02d-c1c81e3148db"
3627;"4272269";28.5.2013 00.00.00;30.12.1899 16.53.00;1;3;2013,00;44,00;"F";1,00;1,00;545,00;74,60;208,00;210,00;;457009,00;7135050,00;26,07;8,40;31,00;152278;"c41c253b-2421-11e7-a02d-c1c81e3148db";"c4e23d43-2421-11e7-a02d-c1c81e3148db"
3628;"4272270";18.6.2013 00.00.00;30.12.1899 16.00.00;1;1;2013,00;44,00;"F";1,00;1,00;530,00;72,10;207,00;207,00;;449672,00;7141070,00;25,60;7,90;31,30;152329;"c41c253c-2421-11e7-a02d-c1c81e3148db";"c4e23d44-2421-11e7-a02d-c1c81e3148db"
3629;"4272270";20.6.2013 00.00.00;30.12.1899 12.00.00;1;1;2013,00;44,00;"F";1,00;1,00;530,00;72,10;207,00;207,00;;453298,00;7142961,00;25,60;7,90;31,30;152329;"c41c253c-2421-11e7-a02d-c1c81e3148db";"c4e26470-2421-11e7-a02d-c1c81e3148db"
3630;"4272270";23.7.2013 00.00.00;30.12.1899 16.16.00;1;3;2013,00;44,00;"F";1,00;1,00;530,00;72,10;207,00;207,00;;448395,00;7137762,00;25,60;7,90;31,30;152329;"c41c253c-2421-11e7-a02d-c1c81e3148db";"c4e26471-2421-11e7-a02d-c1c81e3148db"
3631;"4272273";28.5.2013 00.00.00;30.12.1899 15.36.00;1;3;2013,00;44,00;"F";1,00;2,00;470,00;71,70;196,00;195,00;;457110,00;7134156,00;24,04;4,00;26,80;152079;"c41c4c6a-2421-11e7-a02d-c1c81e3148db";"c4e26472-2421-11e7-a02d-c1c81e3148db"
3632;"4272273";23.7.2013 00.00.00;30.12.1899 14.48.00;1;3;2013,00;44,00;"F";1,00;2,00;470,00;71,70;196,00;195,00;;456685,00;7134473,00;24,04;4,00;26,80;152079;"c41c4c6a-2421-11e7-a02d-c1c81e3148db";"c4e28bb2-2421-11e7-a02d-c1c81e3148db"
3633;"4272276";24.2.2013 00.00.00;30.12.1899 12.00.00;0;1;2013,00;44,00;"F";1,00;1,00;545,00;72,00;199,00;200,00;1,00;451555,00;7142550,00;27,31;8,20;32,50;152321;"c41c738e-2421-11e7-a02d-c1c81e3148db";"c4e28bb3-2421-11e7-a02d-c1c81e3148db"
3634;"4272277";28.5.2013 00.00.00;30.12.1899 15.50.00;5;3;2013,00;44,00;"F";2,00;2,00;475,00;67,80;190,00;190,00;3,00;458491,00;7119368,00;25,00;;;152088;"c41c9aba-2421-11e7-a02d-c1c81e3148db";"c4e28bb4-2421-11e7-a02d-c1c81e3148db"
3635;"4272277";23.7.2013 00.00.00;30.12.1899 15.24.00;5;3;2013,00;44,00;"F";2,00;2,00;475,00;67,80;190,00;190,00;3,00;471769,00;7103108,00;25,00;;;152088;"c41c9aba-2421-11e7-a02d-c1c81e3148db";"c4e2b18c-2421-11e7-a02d-c1c81e3148db"
3636;"4272278";30.8.2013 00.00.00;30.12.1899 00.00.00;0;2;2013,00;44,00;"F";2,00;1,00;500,00;67,30;190,00;190,00;1,00;415976,00;7108112,00;26,31;;;152746;"c41c9abb-2421-11e7-a02d-c1c81e3148db";"c4e2b18d-2421-11e7-a02d-c1c81e3148db"
3637;"4272286";28.5.2013 00.00.00;30.12.1899 15.01.00;1;3;2013,00;44,00;"F";1,00;1,00;485,00;72,40;;200,00;;454023,00;7136574,00;24,25;5,00;30,30;152844;"c41d103a-2421-11e7-a02d-c1c81e3148db";"c4e2d8ba-2421-11e7-a02d-c1c81e3148db"
3638;"4272286";23.7.2013 00.00.00;30.12.1899 16.22.00;1;3;2013,00;44,00;"F";1,00;1,00;485,00;72,40;;200,00;;452702,00;7134697,00;24,25;5,00;30,30;152844;"c41d103a-2421-11e7-a02d-c1c81e3148db";"c4e2d8bb-2421-11e7-a02d-c1c81e3148db"
3643;"4271284";12.9.2014 00.00.00;;0;1;2012,00;44,00;"F";1,00;2,00;615,00;79,00;;;1,00;429177,00;7130919,00;;7,80;32,20;152229;"c418a060-2421-11e7-a02d-c1c81e3148db";"c4e32842-2421-11e7-a02d-c1c81e3148db"
3644;"4271271";17.9.2014 00.00.00;;0;1;2012,00;44,00;"F";1,00;2,00;570,00;76,00;205,00;204,00;1,00;448886,00;7138896,00;27,87;7,20;31,10;152238;"c418c7a0-2421-11e7-a02d-c1c81e3148db";"c4e32843-2421-11e7-a02d-c1c81e3148db"
